ORDER_ID,ITEM_ID,ORDER_DATE,EMP_ID,PROMOTION_ID,QTY_SOLD,UNIT_PRICE,UNIT_COST,DISCOUNT,CUSTOMER_ID
10000,83,01-Jan-14,8,0,1,8,6.162,0,7840
10001,22,01-Jan-14,20,0,1,13,10.27,0,6222
10001,218,01-Jan-14,20,0,1,17,15.6455,0,6222
10001,258,01-Jan-14,20,0,1,51,44.5295,0,6222
10001,260,01-Jan-14,20,0,1,26,22.8665,0,6222
10001,270,01-Jan-14,20,0,1,13,12.035,0,6222
10001,330,01-Jan-14,20,0,1,15,13.4667,0,6222
10002,3,01-Jan-14,1,0,1,6,5.135,0,5411
10002,198,01-Jan-14,1,0,1,11,9.628,0,5411
10002,285,01-Jan-14,1,0,1,14,13.4667,0,5411
10002,297,01-Jan-14,1,0,1,14,13.4667,0,5411
10003,210,01-Jan-14,27,0,1,13,12.035,0,6373
10003,222,01-Jan-14,27,0,1,13,12.035,0,6373
10003,223,01-Jan-14,27,0,1,9,8.4245,0,6373
10003,266,01-Jan-14,27,0,1,13,12.035,0,6373
10003,344,01-Jan-14,27,0,1,15,14.5026,0,6373
10003,350,01-Jan-14,27,0,1,13,11.3949,0,6373
10004,139,01-Jan-14,16,0,1,130,105.5424,0,3604
10004,199,01-Jan-14,16,0,1,13,12.035,0,3604
10004,207,01-Jan-14,16,0,1,9,8.4245,0,3604
10004,343,01-Jan-14,16,0,1,13,12.4308,0,3604
10004,355,01-Jan-14,16,0,1,13,10.359,0,3604
10005,319,01-Jan-14,17,0,1,15,14.5026,0,2052
10006,17,01-Jan-14,39,0,1,11,8.216,0,7818
10006,44,01-Jan-14,39,0,1,11,8.216,0,7818
10006,191,01-Jan-14,39,0,1,26,22.8665,0,7818
10006,198,01-Jan-14,39,0,1,11,9.628,0,7818
10007,360,01-Jan-14,35,0,1,15,12.4308,0,7759
10008,276,01-Jan-14,30,0,1,14,13.4667,0,4918
10008,278,01-Jan-14,30,0,1,8,7.2513,0,4918
10008,308,01-Jan-14,30,0,1,15,12.4308,0,4918
10009,22,01-Jan-14,20,0,1,13,10.27,0,1713
10009,25,01-Jan-14,20,0,1,10,7.189,0,1713
10009,51,01-Jan-14,20,0,1,3,3.081,0,1713
10009,251,01-Jan-14,20,0,1,9,8.4245,0,1713
10009,264,01-Jan-14,20,0,1,17,15.6455,0,1713
10010,36,01-Jan-14,38,0,1,5,4.108,0,4830
10010,230,01-Jan-14,38,0,1,13,12.035,0,4830
10010,231,01-Jan-14,38,0,1,9,8.4245,0,4830
10010,233,01-Jan-14,38,0,1,17,14.442,0,4830
10010,236,01-Jan-14,38,0,1,9,8.4245,0,4830
10010,281,01-Jan-14,38,0,1,15,13.4667,0,4830
10010,289,01-Jan-14,38,0,1,48,39.3642,0,4830
10010,309,01-Jan-14,38,0,1,59,48.6873,0,4830
10011,6,01-Jan-14,13,0,1,28,20.54,0,3877
10011,196,01-Jan-14,13,0,1,13,12.035,0,3877
10012,264,01-Jan-14,20,0,1,17,15.6455,0,7369
10012,266,01-Jan-14,20,0,1,13,12.035,0,7369
10012,273,01-Jan-14,20,0,1,15,14.5026,0,7369
10012,285,01-Jan-14,20,0,1,14,13.4667,0,7369
10012,288,01-Jan-14,20,0,1,15,13.4667,0,7369
10013,334,01-Jan-14,19,0,1,10,10.359,0,1481
10013,350,01-Jan-14,19,0,1,13,11.3949,0,1481
10014,41,01-Jan-14,14,0,1,9,7.189,0,5321
10014,47,01-Jan-14,14,0,1,6,5.135,0,5321
10014,68,01-Jan-14,14,0,1,80,59.566,0,5321
10014,129,01-Jan-14,14,0,1,160,128.6298,0,5321
10014,214,01-Jan-14,14,0,1,13,12.035,0,5321
10014,277,01-Jan-14,14,0,1,15,14.5026,0,5321
10014,327,01-Jan-14,14,0,1,13,12.4308,0,5321
10015,17,01-Jan-14,30,0,1,11,8.216,0,6904
10015,56,01-Jan-14,30,0,1,15,11.297,0,6904
10015,154,01-Jan-14,30,0,1,50,40.6778,0,6904
10015,209,01-Jan-14,30,0,1,13,12.035,0,6904
10015,227,01-Jan-14,30,0,1,13,12.035,0,6904
10015,336,01-Jan-14,30,0,1,16,15.5385,0,6904
10016,19,01-Jan-14,34,0,1,8,6.162,0,9747
10016,335,01-Jan-14,34,0,1,15,13.4667,0,9747
10017,47,01-Jan-14,36,0,1,6,5.135,0,9794
10018,187,01-Jan-14,28,0,1,9,8.4245,0,9926
10018,229,01-Jan-14,28,0,1,13,12.035,0,9926
10019,12,01-Jan-14,28,0,1,8,6.162,0,2116
10019,54,01-Jan-14,28,0,1,5,4.108,0,2116
10019,74,01-Jan-14,28,0,1,11,8.216,0,2116
10019,79,01-Jan-14,28,0,1,11,8.216,0,2116
10019,196,01-Jan-14,28,0,1,13,12.035,0,2116
10019,263,01-Jan-14,28,0,1,43,36.105,0,2116
10019,346,01-Jan-14,28,0,1,13,10.359,0,2116
10020,6,01-Jan-14,30,0,1,28,20.54,0,4915
10020,8,01-Jan-14,30,0,1,8,6.162,0,4915
10020,38,01-Jan-14,30,0,1,12,9.243,0,4915
10020,185,01-Jan-14,30,0,1,9,8.4245,0,4915
10020,219,01-Jan-14,30,0,1,15,13.2385,0,4915
10020,285,01-Jan-14,30,0,1,14,13.4667,0,4915
10020,287,01-Jan-14,30,0,1,15,14.5026,0,4915
10020,350,01-Jan-14,30,0,1,13,11.3949,0,4915
10021,93,01-Jan-14,30,0,1,700,569.4892,0,1447
10021,187,01-Jan-14,30,0,1,9,8.4245,0,1447
10021,253,01-Jan-14,30,0,1,13,12.035,0,1447
10021,257,01-Jan-14,30,0,1,26,22.8665,0,1447
10021,305,01-Jan-14,30,0,1,16,12.4308,0,1447
10021,320,01-Jan-14,30,0,1,31,25.8975,0,1447
10021,349,01-Jan-14,30,0,1,15,12.4308,0,1447
10022,33,01-Jan-14,35,0,1,8,6.162,0,1663
10022,51,01-Jan-14,35,0,1,3,3.081,0,1663
10022,93,01-Jan-14,35,0,1,700,569.4892,0,1663
10022,198,01-Jan-14,35,0,1,11,9.628,0,1663
10022,210,01-Jan-14,35,0,1,13,12.035,0,1663
10022,236,01-Jan-14,35,0,1,9,8.4245,0,1663
10022,294,01-Jan-14,35,0,1,14,14.5026,0,1663
10022,315,01-Jan-14,35,0,1,9,9.3231,0,1663
10022,318,01-Jan-14,35,0,1,10,10.359,0,1663
10022,330,01-Jan-14,35,0,1,15,13.4667,0,1663
10023,19,01-Jan-14,27,0,1,8,6.162,0,9133
10023,58,01-Jan-14,27,0,1,8,6.162,0,9133
10024,188,01-Jan-14,3,0,1,13,12.035,0,7825
10024,273,01-Jan-14,3,0,1,15,14.5026,0,7825
10025,73,01-Jan-14,17,0,1,11,8.216,0,2990
10025,122,01-Jan-14,17,0,1,60,48.3736,0,2990
10025,203,01-Jan-14,17,0,1,20,18.0525,0,2990
10025,220,01-Jan-14,17,0,1,12,10.8315,0,2990
10025,231,01-Jan-14,17,0,2,9,8.4245,0,2990
10025,240,01-Jan-14,17,0,1,13,12.035,0,2990
10025,261,01-Jan-14,17,0,1,11,9.628,0,2990
10025,337,01-Jan-14,17,0,1,15,13.4667,0,2990
10026,56,01-Jan-14,30,0,1,15,11.297,0,9261
10027,190,01-Jan-14,25,0,1,16,14.442,0,3343
10027,197,01-Jan-14,25,0,1,9,8.4245,0,3343
10027,220,01-Jan-14,25,0,1,12,10.8315,0,3343
10027,242,01-Jan-14,25,0,1,18,16.849,0,3343
